iter	Passed	Remaining
0	214	64105
1	281	41903
2	352	34871
3	419	31077
4	484	28609
5	554	27190
6	620	25954
7	689	25160
8	759	24552
9	823	23868
10	885	23270
11	955	22935
12	1020	22521
13	1087	22222
14	1160	22057
15	1226	21761
16	1299	21629
17	1366	21409
18	1440	21306
19	1512	21174
20	1572	20897
21	1642	20757
22	1715	20654
23	1786	20548
24	1856	20417
25	1924	20277
26	1995	20172
27	2064	20052
28	2129	19902
29	2193	19745
30	2251	19538
31	2315	19391
32	2381	19265
33	2449	19159
34	2509	18999
35	2577	18903
36	2642	18779
37	2705	18650
38	2772	18552
39	2835	18433
40	2902	18333
41	2970	18247
42	3035	18143
43	3107	18082
44	3172	17980
45	3243	17907
46	3321	17879
47	3385	17771
48	3447	17660
49	3514	17573
50	3579	17477
51	3648	17399
52	3713	17308
53	3779	17217
54	3846	17135
55	3914	17057
56	3980	16970
57	4049	16896
58	4117	16817
59	4184	16737
60	4257	16681
61	4328	16615
62	4401	16558
63	4469	16480
64	4530	16378
65	4597	16299
66	4662	16214
67	4730	16140
68	4795	16055
69	4860	15971
70	4933	15912
71	5007	15858
72	5071	15770
73	5134	15681
74	5199	15597
75	5268	15527
76	5332	15443
77	5399	15369
78	5462	15281
79	5535	15223
80	5603	15149
81	5672	15081
82	5740	15009
83	5804	14926
84	5878	14869
85	5944	14792
86	6013	14722
87	6083	14655
88	6156	14596
89	6228	14533
90	6296	14461
91	6365	14391
92	6428	14309
93	6496	14238
94	6562	14161
95	6636	14101
96	6699	14021
97	6768	13952
98	6840	13887
99	6912	13824
100	6979	13751
101	7045	13676
102	7111	13601
103	7178	13528
104	7241	13448
105	7300	13361
106	7371	13295
107	7438	13223
108	7506	13154
109	7574	13083
110	7642	13013
111	7713	12948
112	7774	12865
113	7837	12788
114	7906	12719
115	7972	12646
116	8046	12585
117	8109	12507
118	8175	12434
119	8233	12350
120	8304	12285
121	8364	12204
122	8429	12130
123	8498	12062
124	8567	11994
125	8631	11919
126	8696	11846
127	8762	11774
128	8829	11704
129	8896	11633
130	8962	11562
131	9050	11518
132	9133	11467
133	9201	11398
134	9266	11325
135	9329	11250
136	9396	11179
137	9467	11113
138	9538	11048
139	9605	10978
140	9670	10905
141	9736	10833
142	9803	10763
143	9876	10699
144	9933	10618
145	10001	10549
146	10059	10470
147	10126	10400
148	10186	10323
149	10224	10224
150	10243	1010151	10309	100371152	10383	99761153	10452	99091154	10523	9844155	10546	9735
156	10616	9670
157	10682	9601
158	10745	9529
1159	10861	950311160	10889	94016161	10958	933162	11027	9268
163	11098	9203
1164	11212	917311165	11241	9071166	11341	90321167	11410	89651168	11472	889316169	11515	880170	11579	8735
1171	11690	86991172	11758	86311173	11833	85691174	11911	85081175	11981	84411176	12049	83731177	12115	83031178	12183	82351179	12247	81641180	12306	80911181	12374	80231182	12435	79501183	12506	78841184	12570	78141185	12631	77411186	12699	76741187	12765	76051188	12830	75351189	12899	74671190	12962	73971191	13029	73291192	13098	72611193	13164	71931194	13230	71241195	13295	70541196	13361	698511197	13398	6901198	13491	684711199	13531	6762200	13632	67142201	13697	66452202	13761	65752203	13828	65072204	13900	644122205	13951	63662206	14016	62972207	14082	62282208	14152	6162209	14234	6100
210	14303	6033
211	14371	5965
212	14439	5897
213	14496	5825
214	14568	5759
215	14630	5689
216	14697	5621
217	14759	5551
218	14827	5484
219	14891	54152220	14960	5347
221	15027	5280
2222	15078	52062223	15146	51392224	15216	50722225	15286	50052226	15355	4932227	15443	4876
228	15508	4808
229	15580	4742
230	15650	4674
231	15714	4605
232	15784	4538
233	15850	4470
234	15910	4400
235	15980	4333
236	16048	4265
237	16113	4197
238	16188	4131
239	16253	4063
240	16312	3993
241	16378	3925
242	16441	3856
243	16505	37882244	16571	37202245	16639	36522246	16706	35842247	16772	35162248	16839	34492249	16901	33802250	16967	33122251	17036	32442252	17106	3177
253	17170	3109
254	17238	30422255	17307	29742256	17372	29062257	17432	28372258	17496	27692259	17557	27012260	17620	26322261	17691	25652262	17758	24982263	17826	24302264	17886	23622265	17955	22952266	18020	22272267	18089	21592268	18147	20912269	18217	20242270	18283	19562271	18351	18892272	18414	18212273	18479	17532274	18550	16862275	18623	16192276	18693	15522277	18759	14842278	18829	14172279	18894	13492280	18958	12812281	19024	12142282	19082	11462283	19144	10782284	19216	10112285	19289	9442286	19358	8762287	19425	8092288	19489	7412289	19555	6742290	19622	6062291	19679	5392292	19744	4712293	19808	4042294	19873	3362295	19937	2692296	20000	2022297	20063	1342298	20123	672299	20147	0

